,time,proto,sip,sport,dip,dport,from,to,subject
76,2017-11-11 12:19:37,smtp,10.64.105.125,1920,10.5.71.60,25,1067@hightech.com,1041@hightech.com,公司发展规划
1021,2017-11-13 13:48:09,smtp,10.64.105.125,1948,10.5.71.60,25,1067@hightech.com,1068@hightech.com,年度计划
1064,2017-11-14 13:53:25,smtp,10.64.105.125,2193,10.5.71.60,25,1067@hightech.com,1041@hightech.com,年度计划
1077,2017-11-23 12:28:51,smtp,10.64.105.125,2033,10.5.71.60,25,1067@hightech.com,1041@hightech.com,公司发展规划
1104,2017-11-27 14:11:24,smtp,10.64.105.125,1655,10.5.71.60,25,1067@hightech.com,1013@hightech.com,年度计划
1283,2017-11-27 15:32:30,smtp,10.64.105.125,1623,10.5.71.60,25,1067@hightech.com,1059@hightech.com,年度计划
1090,2017-11-30 14:08:48,smtp,10.64.105.125,1943,10.5.71.60,25,1067@hightech.com,1068@hightech.com,年度计划
1138,2017-11-30 14:31:25,smtp,10.64.105.125,1924,10.5.71.60,25,1067@hightech.com,1041@hightech.com,公司发展规划
1248,2017-11-30 15:22:13,smtp,10.64.105.125,1919,10.5.71.60,25,1067@hightech.com,1068@hightech.com,年度计划
1356,2017-11-30 16:25:57,smtp,10.64.105.125,1917,10.5.71.60,25,1067@hightech.com,1041@hightech.com,年度计划
