,time,proto,sip,sport,dip,dport,from,to,subject
1,2017-11-10 03:00:00,smtp,10.1.4.17,49203,10.5.71.60,25,kaoqin@hightech.com,1067@hightech.com,旷工
271,2017-11-10 10:34:38,smtp,111.202.126.72,2216,10.5.71.60,25,b9cf7f0617aca7b24ee4eccd164cb5fe@sohu.com,1067@hightech.com,合作
298,2017-11-10 10:37:10,smtp,163.177.72.176,1773,10.5.71.60,25,eeb6a98d3cf5c70e03d2b9e5f5b96bc6@qq.com,1067@hightech.com,介绍
312,2017-11-10 10:38:22,smtp,14.17.32.47,2345,10.5.71.60,25,e4771a79e80e40a83448e61bb673970b@foxmail.com,1067@hightech.com,合作
1131,2017-11-10 14:21:49,smtp,163.177.72.176,3105,10.5.71.60,25,100e99335f1f760bcae7603fb12dd16c@qq.com,1067@hightech.com,合作
1285,2017-11-10 15:21:29,smtp,10.64.106.49,3013,10.5.71.60,25,1059@hightech.com,1067@hightech.com,工作汇报
1623,2017-11-10 17:44:36,smtp,219.142.78.230,3523,10.5.71.60,25,ddd0f06839cb44a4c7247184c0593b71@sina.com,1067@hightech.com,合作
1723,2017-11-10 18:38:24,smtp,163.177.72.176,2214,10.5.71.60,25,3a542bf8e6122d502da59c9d0923c3aa@qq.com,1067@hightech.com,介绍
32,2017-11-11 04:00:00,smtp,10.1.4.17,49213,10.5.71.60,25,kaoqin@hightech.com,1067@hightech.com,旷工
121,2017-11-11 18:50:24,smtp,14.17.32.47,3058,10.5.71.60,25,a96ceb041c037f5bd6432ea5414b4f1e@foxmail.com,1067@hightech.com,介绍
122,2017/11/12 14:58,smtp,163.177.72.176,2761,10.5.71.60,25,5bbc7e6ab5bb2b39f7cc3ca4601d2b7a@qq.com,1067@hightech.com,介绍
139,2017/11/12 16:15,smtp,163.177.72.176,2589,10.5.71.60,25,63c65ccd3d328c565e0b8ba598620b44@qq.com,1067@hightech.com,合作
174,2017/11/12 19:40,smtp,219.142.78.230,3075,10.5.71.60,25,810246e8aa10ab6bdb37f9bdd9f051b9@sina.com,1067@hightech.com,介绍
77,2017-11-13 09:57:53,smtp,111.202.126.72,1946,10.5.71.60,25,d58597a942bb5d4751783c13d0afa4cf@sohu.com,1067@hightech.com,介绍
117,2017-11-13 10:23:02,smtp,14.17.32.47,2148,10.5.71.60,25,cb14c0eb3cff952377d066231144bc39@foxmail.com,1067@hightech.com,合作
273,2017-11-13 10:37:22,smtp,219.142.78.230,2143,10.5.71.60,25,26c491a6b09c62da8857575537cf3c03@sina.com,1067@hightech.com,合作
866,2017-11-13 12:08:52,smtp,14.17.32.47,2579,10.5.71.60,25,ce6c11815bd5a5cfd1207d9587f59ea2@foxmail.com,1067@hightech.com,合作
1016,2017-11-13 13:45:25,smtp,111.202.126.72,2201,10.5.71.60,25,8d589148bef43c9c7095f8e0071d6ab6@sohu.com,1067@hightech.com,合作
1150,2017-11-13 14:41:43,smtp,219.142.78.230,3469,10.5.71.60,25,fe45eec442c7bc4fc041fc26437bb767@sina.com,1067@hightech.com,合作
1355,2017-11-13 16:12:15,smtp,14.17.32.47,3794,10.5.71.60,25,d5aa835fa37add787d9ace5d491f5c7e@foxmail.com,1067@hightech.com,介绍
1610,2017-11-13 18:11:57,smtp,163.177.72.176,2889,10.5.71.60,25,62a9d4f29b1bb66f596a0c3e350997d6@qq.com,1067@hightech.com,介绍
