,time,proto,sip,sport,dip,dport,from,to,subject
43,2017-11-22 09:29:01,smtp,10.64.106.10,1619,10.5.71.60,25,1499@hightech.com,6b1bbb9bef1757025b2206179ee5c8b9@sina.com,公司简介
51,2017-11-22 09:35:17,smtp,10.64.106.15,2535,10.5.71.60,25,1249@hightech.com,1013@hightech.com;1104@hightech.com;1499@hightech.com;1371@hightech.com;1184@hightech.com;1251@hightech.com;1295@hightech.com;1312@hightech.com;1433@hightech.com;1165@hightech.com;1300@hightech.com;1378@hightech.com;1473@hightech.com;1118@hightech.com;1363@hightech.com;1110@hightech.com;1149@hightech.com,劳动合同
61,2017-11-22 09:39:55,smtp,10.64.106.38,2138,10.5.71.60,25,1295@hightech.com,0347561d61208e70ea064d7c7ef1f52a@foxmail.com,复试通知
67,2017-11-22 09:41:01,smtp,10.64.106.5,2337,10.5.71.60,25,1165@hightech.com,2b5544c1fccc69e968dcc06dc8d302b4@qq.com,面试通知
69,2017-11-22 09:42:00,smtp,10.64.106.43,2144,10.5.71.60,25,1363@hightech.com,bd935b2ff266a9d25cc65e0911fe69a4@sina.com,新员工必读
70,2017-11-22 09:42:00,smtp,219.142.78.230,1613,10.5.71.60,25,1a21a0a6feca6192e643cc8f0e57b95c@sina.com,1067@hightech.com,介绍
71,2017-11-22 09:42:22,smtp,10.64.106.3,2058,10.5.71.60,25,1110@hightech.com,9d31daf1ad783897b93a07f7ae24f841@qq.com,公司简介
75,2017-11-22 09:43:32,smtp,10.64.106.42,2004,10.5.71.60,25,1251@hightech.com,00acafdfae40c3af755c908f65221a27@sina.com,录用通知（接受请回复邮件确认，谢谢！）
93,2017-11-22 09:51:51,smtp,10.64.106.8,1711,10.5.71.60,25,1312@hightech.com,1cbf1496e61730df3295a7801b2df88c@foxmail.com,新员工必读
114,2017-11-22 09:59:29,smtp,10.64.106.13,1833,10.5.71.60,25,1300@hightech.com,48550696190023894be46e9862854b32@sohu.com,公司简介
119,2017-11-22 10:08:53,smtp,10.64.106.15,2536,10.5.71.60,25,1249@hightech.com,fb505d482c14534e4df8ac999c205458@qq.com,面试通知
131,2017-11-22 10:19:32,smtp,10.64.106.12,1862,10.5.71.60,25,1104@hightech.com,64e2565b5db4e08e5d542c749fe263a8@sina.com,公司简介
149,2017-11-22 10:21:38,smtp,111.202.126.72,1769,10.5.71.60,25,20e2c7013562bb12fff989b874dae6dc@sohu.com,1433@hightech.com,个人资料
158,2017-11-22 10:22:31,smtp,217.12.13.41,4583,10.5.71.60,25,wanglin@yahoo.com.cn,1376@hightech.com,有7位HR查看了您的简历
159,2017-11-22 10:22:33,smtp,10.64.105.199,1562,10.5.71.60,25,1169@hightech.com,4ce6507cbf6e29ea39df9aa439273ce5@foxmail.com,平台介绍
160,2017-11-22 10:22:36,smtp,111.202.126.72,2543,10.5.71.60,25,c939c6a974dad3ae9cbbc7c8def8bfd7@sohu.com,1251@hightech.com,简历
193,2017-11-22 10:26:31,smtp,111.202.126.72,1566,10.5.71.60,25,d00a69140f952fea1f0b6b6c1b7f52f2@sohu.com,1184@hightech.com,个人资料
194,2017-11-22 10:26:37,smtp,14.17.32.47,2206,10.5.71.60,25,23c6aa51d5ee2cdc172e1324964bbf9c@foxmail.com,1249@hightech.com,个人资料
195,2017-11-22 10:26:42,smtp,10.64.106.42,1999,10.5.71.60,25,1251@hightech.com,61b2310f4cf0bcd58bb84cef36dabf56@qq.com,面试通知
201,2017-11-22 10:27:19,smtp,10.64.106.7,1721,10.5.71.60,25,1378@hightech.com,9092cb750a0a218a8450187a804faf8e@sohu.com,新员工必读
240,2017-11-22 10:30:37,smtp,14.17.32.47,1954,10.5.71.60,25,0683c47f73d1ab0513c6062cc0f5b1bd@foxmail.com,1312@hightech.com,个人资料
285,2017-11-22 10:34:33,smtp,118.192.64.194,39404,10.5.71.60,25,aaabf0d39951f3e6c3e8a7911df524c2@mail7.lietou-edm.com,1125@hightech.com,【薪酬绩效主管/经理_北京】乐乐_来自猎聘网的候选人
299,2017-11-22 10:35:25,smtp,14.17.32.47,2157,10.5.71.60,25,682d6b9c2dbb26da98cc9d3a89268730@foxmail.com,1363@hightech.com,个人简历
359,2017-11-22 10:39:30,smtp,10.64.106.7,1721,10.5.71.60,25,1378@hightech.com,069f69e5730898d87450ab10b22d7bc9@sohu.com,新员工必读
