,time,proto,sip,sport,dip,dport,from,to,subject
34,2017-11-30 09:22:26,smtp,10.116.216.72,2415,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
38,2017-11-30 09:27:11,smtp,219.142.78.230,2021,10.5.71.60,25,aee842823c8398169f8c90a8eacbf831@sina.com,1347@hightech.com,财务
53,2017-11-30 09:38:15,smtp,10.116.216.72,2168,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
55,2017-11-30 09:39:02,smtp,10.116.216.72,2060,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
57,2017-11-30 09:40:55,smtp,10.116.216.72,1573,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
63,2017-11-30 09:42:18,smtp,10.64.105.8,2133,10.5.71.60,25,1108@hightech.com,1184@hightech.com,财务报账
75,2017-11-30 09:47:17,smtp,10.116.216.72,2428,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
76,2017-11-30 09:47:26,smtp,10.116.216.72,2429,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
77,2017-11-30 09:47:43,smtp,10.64.105.71,2382,10.5.71.60,25,1180@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1346@hightech.com,资金
78,2017-11-30 09:47:46,smtp,10.116.216.72,1843,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
79,2017-11-30 09:49:31,smtp,10.116.216.72,1932,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
82,2017-11-30 09:50:41,smtp,10.116.216.72,1779,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
90,2017-11-30 09:55:06,smtp,10.116.216.72,2429,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
92,2017-11-30 09:56:29,smtp,10.116.216.72,2427,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
96,2017-11-30 09:57:46,smtp,10.116.216.72,2442,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
101,2017-11-30 09:59:52,smtp,10.64.105.29,2417,10.5.71.60,25,1451@hightech.com,1153@hightech.com,财务报账
105,2017-11-30 10:04:40,smtp,10.64.105.71,2381,10.5.71.60,25,1180@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1255@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1346@hightech.com,资金
111,2017-11-30 10:09:07,smtp,10.116.216.72,1558,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
112,2017-11-30 10:10:12,smtp,10.116.216.72,1832,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
119,2017-11-30 10:14:30,smtp,10.116.216.72,2340,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
120,2017-11-30 10:15:54,smtp,10.64.105.88,2401,10.5.71.60,25,1368@hightech.com,b07a8eb383992e5e60ae795b51917f90@sina.com,财务
121,2017-11-30 10:16:41,smtp,10.116.216.72,2413,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
124,2017-11-30 10:20:03,smtp,10.116.216.72,1790,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
129,2017-11-30 10:20:31,smtp,10.116.216.72,2617,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
132,2017-11-30 10:20:43,smtp,10.116.216.72,1908,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
137,2017-11-30 10:20:52,smtp,10.116.216.72,2393,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
150,2017-11-30 10:22:01,smtp,10.116.216.72,2071,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
156,2017-11-30 10:22:28,smtp,10.116.216.72,2304,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
159,2017-11-30 10:22:52,smtp,10.116.216.72,2433,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
169,2017-11-30 10:23:41,smtp,10.116.216.72,2121,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
193,2017-11-30 10:25:32,smtp,10.116.216.72,2334,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
205,2017-11-30 10:26:43,smtp,10.116.216.72,1772,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
211,2017-11-30 10:27:14,smtp,10.116.216.72,2105,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
213,2017-11-30 10:27:23,smtp,10.116.216.72,2523,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
215,2017-11-30 10:27:32,smtp,10.116.216.72,2376,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
220,2017-11-30 10:28:09,smtp,10.116.216.72,2470,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
221,2017-11-30 10:28:11,smtp,10.116.216.72,2300,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
233,2017-11-30 10:29:57,smtp,10.116.216.72,1797,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
235,2017-11-30 10:29:59,smtp,10.116.216.72,2421,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
236,2017-11-30 10:30:08,smtp,10.116.216.72,2339,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
245,2017-11-30 10:30:53,smtp,14.17.32.47,2152,10.5.71.60,25,aefa122f8a96047714968812c63d8446@foxmail.com,1431@hightech.com,财务
255,2017-11-30 10:32:18,smtp,10.116.216.72,1794,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
261,2017-11-30 10:32:23,smtp,10.116.216.72,1606,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
279,2017-11-30 10:34:05,smtp,10.116.216.72,2373,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
282,2017-11-30 10:34:16,smtp,10.116.216.72,1657,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
287,2017-11-30 10:34:59,smtp,10.116.216.72,1642,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
289,2017-11-30 10:35:06,smtp,10.116.216.72,2095,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
292,2017-11-30 10:35:30,smtp,10.116.216.72,1587,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
299,2017-11-30 10:35:52,smtp,10.116.216.72,1735,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
301,2017-11-30 10:35:54,smtp,10.116.216.72,2501,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
309,2017-11-30 10:36:41,smtp,10.116.216.72,1601,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
319,2017-11-30 10:37:14,smtp,10.64.105.205,2293,10.5.71.60,25,1255@hightech.com,1041@hightech.com;1368@hightech.com;1347@hightech.com;1248@hightech.com;1327@hightech.com;1439@hightech.com;1137@hightech.com;1370@hightech.com;1467@hightech.com;1226@hightech.com;1369@hightech.com;1186@hightech.com;1213@hightech.com;1451@hightech.com;1124@hightech.com;1431@hightech.com;1293@hightech.com;1253@hightech.com;1342@hightech.com;1498@hightech.com;1108@hightech.com;1180@hightech.com;1346@hightech.com,成本控制
326,2017-11-30 10:37:38,smtp,10.116.216.72,2334,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
332,2017-11-30 10:38:11,smtp,10.116.216.72,1748,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
363,2017-11-30 10:39:56,smtp,10.116.216.72,1652,10.5.71.60,25,ti@hightech.net,1060@hightech.com,互联网资产监控报警
