time,proto,sip,sport,dip,dport,from,to,subject
2017-11-03 03:00:00,smtp,10.1.4.17,49213,10.5.71.60,25,kaoqin@hightech.com,1365@hightech.com,³Ùµ½
2017-11-03 03:00:00,smtp,10.1.4.17,49210,10.5.71.60,25,kaoqin@hightech.com,1007@hightech.com,¿õ¹¤
2017-11-03 03:00:00,smtp,10.1.4.17,49227,10.5.71.60,25,kaoqin@hightech.com,1209@hightech.com,¿õ¹¤
2017-11-03 03:00:00,smtp,10.1.4.17,49222,10.5.71.60,25,kaoqin@hightech.com,1438@hightech.com,³Ùµ½
2017-11-03 03:00:00,smtp,10.1.4.17,49205,10.5.71.60,25,kaoqin@hightech.com,1410@hightech.com,³Ùµ½
2017-11-03 03:00:00,smtp,10.1.4.17,49225,10.5.71.60,25,kaoqin@hightech.com,1100@hightech.com,³Ùµ½
2017-11-03 03:00:00,smtp,10.1.4.17,49203,10.5.71.60,25,kaoqin@hightech.com,1343@hightech.com,³Ùµ½
2017-11-03 03:00:00,smtp,10.1.4.17,49203,10.5.71.60,25,kaoqin@hightech.com,1013@hightech.com,¿õ¹¤
2017-11-03 03:00:00,smtp,10.1.4.17,49209,10.5.71.60,25,kaoqin@hightech.com,1291@hightech.com,³Ùµ½
2017-11-03 03:00:00,smtp,10.1.4.17,49194,10.5.71.60,25,fuli@hightech.com,1219@hightech.com,ÉúÈÕ¿ìÀÖ£¡£¡£¡ËÍ¾©¶«¿¨¸£Àû
2017-11-03 03:00:00,smtp,10.1.4.17,49190,10.5.71.60,25,kaoqin@hightech.com,1199@hightech.com,³Ùµ½
2017-11-03 04:00:00,smtp,10.1.4.17,49227,10.5.71.60,25,kaoqin@hightech.com,1224@hightech.com,³Ùµ½
2017-11-03 04:00:00,smtp,10.1.4.17,49234,10.5.71.60,25,kaoqin@hightech.com,1059@hightech.com,³Ùµ½
2017-11-03 04:00:00,smtp,10.1.4.17,49216,10.5.71.60,25,kaoqin@hightech.com,1217@hightech.com,³Ùµ½
2017-11-03 04:00:00,smtp,10.1.4.17,49172,10.5.71.60,25,kaoqin@hightech.com,1321@hightech.com,³Ùµ½
2017-11-03 04:00:00,smtp,10.1.4.17,49225,10.5.71.60,25,kaoqin@hightech.com,1165@hightech.com,³Ùµ½
2017-11-03 04:00:00,smtp,10.1.4.17,49193,10.5.71.60,25,kaoqin@hightech.com,1300@hightech.com,¿õ¹¤
2017-11-03 04:00:00,smtp,10.1.4.17,49173,10.5.71.60,25,kaoqin@hightech.com,1363@hightech.com,³Ùµ½
2017-11-03 04:00:00,smtp,10.1.4.17,49163,10.5.71.60,25,kaoqin@hightech.com,1067@hightech.com,¿õ¹¤
2017-11-03 04:00:00,smtp,10.1.4.17,49230,10.5.71.60,25,kaoqin@hightech.com,1249@hightech.com,³Ùµ½
